Fishstock,Valid from,Valid to,Interim Deemed Value ($/kg) ,Notice number,schedule number,Notes,Notes
BYA1,1/04/09,,0.210,2003/351,schedule 1,Inserted by 2009/54,
BYA2,1/04/09,,0.210,2003/351,schedule 1,Inserted by 2009/54,
BYA3,1/04/09,,0.210,2003/351,schedule 1,Inserted by 2009/54,
BYA4,1/04/09,,0.210,2003/351,schedule 1,Inserted by 2009/54,
BYA5,1/04/09,,0.210,2003/351,schedule 1,Inserted by 2009/54,
BYA7,1/04/09,,0.210,2003/351,schedule 1,Inserted by 2009/54,
BYA8,1/04/09,,0.210,2003/351,schedule 1,Inserted by 2009/54,
BYA9,1/04/09,,0.210,2003/351,schedule 1,Inserted by 2009/54,
CHC1,1/04/09,,1.620,2003/351,schedule 1,Inserted by 2009/54,
CHC10,1/04/09,,1.620,2003/351,schedule 1,Inserted by 2009/54,
CHC2,1/04/09,,1.620,2003/351,schedule 1,Inserted by 2009/54,
CHC3,1/04/09,,1.620,2003/351,schedule 1,Inserted by 2009/54,
CHC4,1/04/09,,1.620,2003/351,schedule 1,Inserted by 2009/54,
CHC5,1/04/09,,1.620,2003/351,schedule 1,Inserted by 2009/54,
CHC6,1/04/09,,1.620,2003/351,schedule 1,Inserted by 2009/54,
CHC7,1/04/09,,1.620,2003/351,schedule 1,Inserted by 2009/54,
CHC8,1/04/09,,1.620,2003/351,schedule 1,Inserted by 2009/54,
CHC9,1/04/09,,1.620,2003/351,schedule 1,Inserted by 2009/54,
CRA1,1/04/11,,99.00,2003/269,schedule 1,Inserted by 2011/71,
CRA10,1/04/04,,40.000,2003/269,schedule 1,Start date corrected via 2004/1,
CRA2,1/04/11,,99.00,2003/269,schedule 1,Inserted by 2011/71,
CRA3,1/04/11,,99.00,2003/269,schedule 1,Inserted by 2011/71,
CRA4,1/04/11,,99.00,2003/269,schedule 1,Inserted by 2011/71,
CRA5,1/04/11,,99.00,2003/269,schedule 1,Inserted by 2011/71,
CRA6,1/04/11,,99.00,2003/269,schedule 1,Inserted by 2011/71,
CRA7,1/04/11,,99.00,2003/269,schedule 1,Inserted by 2011/71,
CRA8,1/04/11,,99.00,2003/269,schedule 1,Inserted by 2011/71,
CRA9,1/04/11,,99.00,2003/269,schedule 1,Inserted by 2011/71,
DAN1,1/04/09,,0.210,2003/351,schedule 1,Inserted by 2009/54,
DAN2,1/04/09,,0.210,2003/351,schedule 1,Inserted by 2009/54,
DAN3,1/04/09,,0.210,2003/351,schedule 1,Inserted by 2009/54,
DAN4,1/04/09,,0.210,2003/351,schedule 1,Inserted by 2009/54,
DAN5,1/04/09,,0.210,2003/351,schedule 1,Inserted by 2009/54,
DAN7,1/04/09,,0.210,2003/351,schedule 1,Inserted by 2009/54,
DAN8,1/04/09,,0.210,2003/351,schedule 1,Inserted by 2009/54,
DAN9,1/04/09,,0.210,2003/351,schedule 1,Inserted by 2009/54,
DSU1,1/04/09,,0.210,2003/351,schedule 1,Inserted by 2009/54,
DSU2,1/04/09,,0.210,2003/351,schedule 1,Inserted by 2009/54,
DSU3,1/04/09,,0.210,2003/351,schedule 1,Inserted by 2009/54,
DSU4,1/04/09,,0.210,2003/351,schedule 1,Inserted by 2009/54,
DSU5,1/04/09,,0.210,2003/351,schedule 1,Inserted by 2009/54,
DSU7,1/04/09,,0.210,2003/351,schedule 1,Inserted by 2009/54,
DSU8,1/04/09,,0.210,2003/351,schedule 1,Inserted by 2009/54,
DSU9,1/04/09,,0.210,2003/351,schedule 1,Inserted by 2009/54,
GSC1,1/04/09,,1.620,2003/351,schedule 1,Inserted by 2009/54,
GSC10,1/04/09,,1.620,2003/351,schedule 1,Inserted by 2009/54,
GSC3,1/04/09,,1.620,2003/351,schedule 1,Inserted by 2009/54,
GSC5,1/04/09,,1.620,2003/351,schedule 1,Inserted by 2009/54,
GSC6A,1/04/09,,1.620,2003/351,schedule 1,Inserted by 2009/54,
GSC6B,1/04/09,,1.620,2003/351,schedule 1,Inserted by 2009/54,
HOR1,1/04/09,,0.060,2003/351,schedule 1,Inserted by 2009/54,
HOR10,1/04/09,,0.060,2003/351,schedule 1,Inserted by 2009/54,
HOR2,1/04/09,,0.060,2003/351,schedule 1,Inserted by 2009/54,
HOR3,1/04/09,,0.060,2003/351,schedule 1,Inserted by 2009/54,
HOR4,1/04/09,,0.060,2003/351,schedule 1,Inserted by 2009/54,
HOR5,1/04/09,,0.060,2003/351,schedule 1,Inserted by 2009/54,
HOR6,1/04/09,,0.060,2003/351,schedule 1,Inserted by 2009/54,
HOR7,1/04/09,,0.060,2003/351,schedule 1,Inserted by 2009/54,
HOR8,1/04/09,,0.060,2003/351,schedule 1,Inserted by 2009/54,
HOR9,1/04/09,,0.060,2003/351,schedule 1,Inserted by 2009/54,
KIC1,1/04/09,,1.620,2003/351,schedule 1,Inserted by 2009/54,
KIC10,1/04/09,,1.620,2003/351,schedule 1,Inserted by 2009/54,
KIC2,1/04/09,,1.620,2003/351,schedule 1,Inserted by 2009/54,
KIC3,1/04/09,,1.620,2003/351,schedule 1,Inserted by 2009/54,
KIC4,1/04/09,,1.620,2003/351,schedule 1,Inserted by 2009/54,
KIC5,1/04/09,,1.620,2003/351,schedule 1,Inserted by 2009/54,
KIC6,1/04/09,,1.620,2003/351,schedule 1,Inserted by 2009/54,
KIC7,1/04/09,,1.620,2003/351,schedule 1,Inserted by 2009/54,
KIC8,1/04/09,,1.620,2003/351,schedule 1,Inserted by 2009/54,
KIC9,1/04/09,,1.620,2003/351,schedule 1,Inserted by 2009/54,
MDI1,1/04/09,,0.780,2003/351,schedule 1,Inserted by 2009/54,
MDI2,1/04/09,,0.780,2003/351,schedule 1,Inserted by 2009/54,
MDI3,1/04/09,,0.780,2003/351,schedule 1,Inserted by 2009/54,
MDI4,1/04/09,,0.780,2003/351,schedule 1,Inserted by 2009/54,
MDI5,1/04/09,,0.780,2003/351,schedule 1,Inserted by 2009/54,
MDI7,1/04/09,,0.780,2003/351,schedule 1,Inserted by 2009/54,
MDI8,1/04/09,,0.780,2003/351,schedule 1,Inserted by 2009/54,
MDI9,1/04/09,,0.780,2003/351,schedule 1,Inserted by 2009/54,
MMI1,1/04/09,,0.960,2003/351,schedule 1,Inserted by 2009/54,
MMI2,1/04/09,,0.960,2003/351,schedule 1,Inserted by 2009/54,
MMI3,1/04/09,,0.960,2003/351,schedule 1,Inserted by 2009/54,
MMI4,1/04/09,,0.960,2003/351,schedule 1,Inserted by 2009/54,
MMI5,1/04/09,,0.960,2003/351,schedule 1,Inserted by 2009/54,
MMI7,1/04/09,,0.960,2003/351,schedule 1,Inserted by 2009/54,
MMI8,1/04/09,,0.960,2003/351,schedule 1,Inserted by 2009/54,
MMI9,1/04/09,,0.960,2003/351,schedule 1,Inserted by 2009/54,
PDO1,1/04/09,,0.720,2003/351,schedule 1,Inserted by 2009/54,
PDO2,1/04/09,,0.720,2003/351,schedule 1,Inserted by 2009/54,
PDO3,1/04/09,,0.720,2003/351,schedule 1,Inserted by 2009/54,
PDO4,1/04/09,,0.720,2003/351,schedule 1,Inserted by 2009/54,
PDO5,1/04/09,,0.720,2003/351,schedule 1,Inserted by 2009/54,
PDO7,1/04/09,,0.720,2003/351,schedule 1,Inserted by 2009/54,
PDO8,1/04/09,,0.720,2003/351,schedule 1,Inserted by 2009/54,
PDO9,1/04/09,,0.720,2003/351,schedule 1,Inserted by 2009/54,
PHC1,1/04/11,,99.00,2003/269,schedule 1,Inserted by 2011/71,
SAE1,1/04/09,,0.510,2003/351,schedule 1,Inserted by 2009/54,
SAE2,1/04/09,,0.510,2003/351,schedule 1,Inserted by 2009/54,
SAE3,1/04/09,,0.510,2003/351,schedule 1,Inserted by 2009/54,
SAE4,1/04/09,,0.510,2003/351,schedule 1,Inserted by 2009/54,
SAE5,1/04/09,,0.510,2003/351,schedule 1,Inserted by 2009/54,
SAE7,1/04/09,,0.510,2003/351,schedule 1,Inserted by 2009/54,
SAE8,1/04/09,,0.510,2003/351,schedule 1,Inserted by 2009/54,
SAE9,1/04/09,,0.510,2003/351,schedule 1,Inserted by 2009/54,
SBW1,1/04/10,,0.410,2003/269,schedule 1,Inserted by 2010/60,
SBW6A,1/04/10,,0.410,2003/269,schedule 1,Inserted by 2010/60,
SBW6B,1/04/10,,0.410,2003/269,schedule 1,Inserted by 2010/60,
SBW6I,1/04/10,,0.410,2003/269,schedule 1,Inserted by 2010/60,
SBW6R,1/04/10,,0.410,2003/269,schedule 1,Inserted by 2010/60,
SCA1,1/04/04,,14.000,2003/269,schedule 1,Start date corrected via 2004/1,
SCA1A,1/04/06,,3.500,2003/269,schedule 1,Inserted by 2006/76,
SCA2A,1/04/06,,3.500,2003/269,schedule 1,Inserted by 2006/76,
SCA3,1/04/06,,3.500,2003/269,schedule 1,Inserted by 2006/76,
SCA4,1/04/04,,14.000,2003/269,schedule 2,Start date corrected via 2004/1,Chatham Islands
SCA5,1/04/06,,3.500,2003/269,schedule 1,Inserted by 2006/76,
SCA7,1/04/04,,14.000,2003/269,schedule 1,Start date corrected via 2004/1,
SCA7A,1/04/06,,3.500,2003/269,schedule 1,Inserted by 2006/76,
SCA7B,1/04/06,,3.500,2003/269,schedule 1,Inserted by 2006/76,
SCA7C,1/04/06,,3.500,2003/269,schedule 1,Inserted by 2006/76,
SCA8A,1/04/06,,3.500,2003/269,schedule 1,Inserted by 2006/76,
SCA9A,1/04/06,,3.500,2003/269,schedule 1,Inserted by 2006/76,
SCACS,1/04/04,,18.500,2003/269,schedule 1,Start date corrected via 2004/1,
SCC10,1/04/09,,20.000,2003/351,schedule 1,Inserted by 2009/54,
SCC1A,1/04/09,,20.000,2003/351,schedule 1,Inserted by 2009/54,
SCC1B,1/04/09,,20.000,2003/351,schedule 1,Inserted by 2009/54,
SCC2A,1/04/09,,20.000,2003/351,schedule 1,Inserted by 2009/54,
SCC2B,1/04/09,,20.000,2003/351,schedule 1,Inserted by 2009/54,
SCC3,1/04/09,31/03/14,1.500,2003/351,schedule 1,Inserted by 2009/54,Revoked by 2014/82
SCC3,1/04/14,,1.800,2003/351,schedule 1,Inserted by 2014/82,
SCC4,1/04/09,,20.000,2003/351,schedule 1,Inserted by 2009/54,
SCC5A,1/04/09,,20.000,2003/351,schedule 1,Inserted by 2009/54,
SCC5B,1/04/09,,20.000,2003/351,schedule 1,Inserted by 2009/54,
SCC6,1/04/09,,20.000,2003/351,schedule 1,Inserted by 2009/54,
SCC7A,1/04/09,,20.000,2003/351,schedule 1,Inserted by 2009/54,
SCC7B,1/04/09,,20.000,2003/351,schedule 1,Inserted by 2009/54,
SCC7D,1/04/09,,20.000,2003/351,schedule 1,Inserted by 2009/54,
SCC8,1/04/09,,20.000,2003/351,schedule 1,Inserted by 2009/54,
SCC9,1/04/09,,20.000,2003/351,schedule 1,Inserted by 2009/54,
